기준일자,위치,위도,경도,주소,장비명,모듈용량,인버터용량,가동일,시설용량(kw),평균 발전시간,최대 발전시간,전력량 합계, CO₂절감량 합계,소나무(30년생)
2019-11-01,삼산1동행정복지센터,37.518661,126.7377,인전광역시 부평구 후정동로 9,eKEN_HANWHA,18.0 ,18.0 ,2016-06-20,18.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-11-01,십정2동행정복지센터,37.473828,126.707834,인천광역시 부평구 십정2동 584,eKEN_HANWHA,12.4 ,12.4 ,,12.0 ,2.7 ,4.3 ,993.0 ,467.2 ,13.5 
2019-09-01,은광원,37.485381,126.736741,인천광역시 부평구 부개동 257,eKEN820N,35.0 ,35.0 ,2012-11-01,35.0 ,2.5 ,4.4 ,2645.0 ,1244.5 ,35.9 
2019-12-01,삼산1동행정복지센터,37.518661,126.7377,인전광역시 부평구 후정동로 9,eKEN_HANWHA,18.0 ,18.0 ,2016-06-20,18.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-12-01,갈산1동행정복지센터,37.517788,126.727173,인천광역시 부평구 주부토로 254,eKEN_HANWHA,12.0 ,12.0 ,2016-06-20,12.0 ,1.9 ,3.3 ,710.0 ,334.1 ,9.6 
2019-12-01,갈산도서관,37.517841,126.727367,인천광역시 부평구 갈산동 74-19,GESOL_STD,15.0 ,12.2 ,,12.0 ,1.8 ,2.9 ,691.0 ,325.1 ,9.4 
2019-10-01,은광원,37.485381,126.736741,인천광역시 부평구 부개동 257,eKEN820N,35.0 ,35.0 ,2012-11-01,35.0 ,2.0 ,4.1 ,2196.0 ,1033.2 ,29.8 
2019-12-01,부개2동행정복지센터,37.4947778,126.7371188,인천광역시 부평구 동수천로 104,eKEN_HANWHA,23.0 ,23.0 ,2013-12-01,23.0 ,2.0 ,3.4 ,1406.0 ,661.5 ,19.1 
2019-12-01,부개도서관,37.490958,126.739488,인천광역시 부평구 부일로83번길 46,GESOL_STD,20.0 ,19.0 ,,19.0 ,2.3 ,3.7 ,1331.0 ,626.2 ,18.1 
2019-12-01,부평구의회,37.5067667,126.7218573,인천광역시 부평구 부평대로 168,GESOL_STD,31.5 ,31.5 ,2013-12-01,32.0 ,1.7 ,3.3 ,1616.0 ,760.3 ,22.0 
2019-12-01,부평기후변화체험관,37.509436,126.730812,인천광역시 부평구 갈산동 403,GESOL_STD,36.5 ,36.0 ,2012-11-01,36.0 ,1.9 ,3.3 ,2133.0 ,1003.6 ,29.0 
2019-11-01,은광원,37.485381,126.736741,인천광역시 부평구 부개동 257,eKEN820N,35.0 ,35.0 ,2012-11-01,35.0 ,0.2 ,1.0 ,194.0 ,91.3 ,2.6 
2019-12-01,부평아트센터,37.483406,126.70478,인천광역시 부평구 십정동 186-411,GESOL_STD,52.0 ,52.0 ,2012-11-01,52.0 ,1.8 ,2.9 ,2947.0 ,1386.6 ,40.0 
2019-12-01,부평청소년수련원,37.508277,126.740225,인천광역시 부평구 삼산동 458-2,GESOL_STD,33.4 ,24.3 ,2010-12-01,24.0 ,1.1 ,1.7 ,827.0 ,389.1 ,11.2 
2019-10-01,청천2동행정복지센터,37.514758,126.704482,인천광역시 부평구 청천2동 178-44,eKEN820N,21.6 ,21.6 ,2011-05-01,22.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-11-01,청천2동행정복지센터,37.514758,126.704482,인천광역시 부평구 청천2동 178-44,eKEN820N,21.6 ,21.6 ,2011-05-01,22.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-12-01,십정2동행정복지센터,37.473828,126.707834,인천광역시 부평구 십정2동 584,eKEN_HANWHA,12.4 ,12.4 ,,12.0 ,1.5 ,3.6 ,581.0 ,273.4 ,7.9 
2019-12-01,은광원,37.485381,126.736741,인천광역시 부평구 부개동 257,eKEN820N,35.0 ,35.0 ,2012-11-01,35.0 ,0.6 ,1.0 ,644.0 ,303.0 ,8.8 
2019-12-01,청천2동행정복지센터,37.514758,126.704482,인천광역시 부평구 청천2동 178-44,eKEN820N,21.6 ,21.6 ,2011-05-01,22.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
