구분,일시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
당진매립장태양광,2017-09-17,0,0,0,0,0,0,0,40,147,407,559,618,637,623,553,435,267,85,1,0,0,0,0,0
당진매립장태양광,2017-09-18,0,0,0,0,0,0,0,77,257,424,535,606,634,609,550,392,260,81,0,0,0,0,0,0
당진매립장태양광,2017-09-19,0,0,0,0,0,0,0,71,193,272,273,423,434,426,349,313,180,52,0,0,0,0,0,0
당진매립장태양광,2017-09-20,0,0,0,0,0,0,0,77,265,454,576,644,665,642,568,430,263,72,0,0,0,0,0,0
당진매립장태양광,2017-09-21,0,0,0,0,0,0,0,79,252,440,495,508,589,576,494,378,235,66,0,0,0,0,0,0
당진매립장태양광,2017-09-22,0,0,0,0,0,0,1,93,202,411,454,526,535,531,439,410,258,74,0,0,0,0,0,0
당진매립장태양광,2017-09-23,0,0,0,0,0,0,0,66,215,250,309,516,581,581,528,337,202,61,0,0,0,0,0,0
당진매립장태양광,2017-09-24,0,0,0,0,0,0,0,41,136,206,194,175,195,405,428,177,184,57,0,0,0,0,0,0
당진매립장태양광,2017-09-25,0,0,0,0,0,0,0,34,122,212,414,447,586,590,501,318,212,47,0,0,0,0,0,0
당진매립장태양광,2017-09-26,0,0,0,0,0,0,0,70,221,384,504,568,599,355,202,162,76,8,0,0,0,0,0,0
당진매립장태양광,2017-09-27,0,0,0,0,0,0,0,18,76,155,274,346,484,489,521,347,141,24,0,0,0,0,0,0
당진매립장태양광,2017-09-28,0,0,0,0,0,0,0,79,294,504,639,727,760,713,629,477,262,54,0,0,0,0,0,0
당진매립장태양광,2017-09-29,0,0,0,0,0,0,0,73,238,397,623,653,729,474,506,316,199,48,0,0,0,0,0,0
당진매립장태양광,2017-09-30,0,0,0,0,0,0,0,84,262,440,597,449,462,483,524,430,223,48,0,0,0,0,0,0
당진매립장태양광,2017-10-01,0,0,0,0,0,0,0,51,122,130,142,112,119,188,133,75,27,0,0,0,0,0,0,0
당진매립장태양광,2017-10-02,0,0,0,0,0,0,0,3,248,503,540,615,638,662,589,423,210,41,0,0,0,0,0,0
당진매립장태양광,2017-10-03,0,0,0,0,0,0,0,72,286,507,626,649,695,513,320,200,76,6,0,0,0,0,0,0
당진매립장태양광,2017-10-04,0,0,0,0,0,0,1,83,268,497,635,642,622,521,567,424,195,47,0,0,0,0,0,0
당진매립장태양광,2017-10-05,0,0,0,0,0,0,0,64,250,442,546,515,338,373,217,142,67,3,0,0,0,0,0,0
당진매립장태양광,2017-10-06,0,0,0,0,0,0,0,59,193,247,498,626,438,153,166,128,28,0,0,0,0,0,0,0
당진매립장태양광,2017-10-07,0,0,0,0,0,0,0,18,93,319,347,583,425,546,345,356,224,24,0,0,0,0,0,0
당진매립장태양광,2017-10-08,0,0,0,0,0,0,0,55,244,439,456,530,456,621,540,373,159,24,0,0,0,0,0,0
당진매립장태양광,2017-10-09,0,0,0,0,0,0,0,59,242,426,573,602,569,636,532,379,172,22,0,0,0,0,0,0
당진매립장태양광,2017-10-10,0,0,0,0,0,0,0,38,185,258,307,210,296,214,117,203,66,3,0,0,0,0,0,0
당진매립장태양광,2017-10-11,0,0,0,0,0,0,0,0,3,11,35,186,264,267,180,84,117,8,0,0,0,0,0,0
당진매립장태양광,2017-10-12,0,0,0,0,0,0,0,0,46,144,136,171,156,187,189,163,106,7,0,0,0,0,0,0
당진매립장태양광,2017-10-13,0,0,0,0,0,0,0,49,249,461,582,596,678,484,369,251,126,22,0,0,0,0,0,0
당진매립장태양광,2017-10-14,0,0,0,0,0,0,0,46,188,358,458,581,657,620,496,320,141,12,0,0,0,0,0,0
당진매립장태양광,2017-10-15,0,0,0,0,0,0,0,34,127,291,493,545,676,614,502,329,130,18,0,0,0,0,0,0
당진매립장태양광,2017-10-16,0,0,0,0,0,0,0,15,94,148,181,394,286,518,465,307,104,12,0,0,0,0,0,0
당진매립장태양광,2017-10-17,0,0,0,0,0,0,0,47,202,375,510,588,617,578,457,324,134,15,0,0,0,0,0,0
당진매립장태양광,2017-10-18,0,0,0,0,0,0,0,0,55,170,197,273,183,153,102,66,24,0,0,0,0,0,0,0
당진매립장태양광,2017-10-19,0,0,0,0,0,0,0,25,196,382,489,431,418,459,454,186,123,14,0,0,0,0,0,0
당진매립장태양광,2017-10-20,0,0,0,0,0,0,0,36,143,318,493,534,598,570,448,296,115,10,0,0,0,0,0,0
당진매립장태양광,2017-10-21,0,0,0,0,0,0,0,31,150,341,466,562,601,549,435,286,107,7,0,0,0,0,0,0
당진매립장태양광,2017-10-22,0,0,0,0,0,0,0,51,192,374,518,595,603,534,455,300,113,7,0,0,0,0,0,0
당진매립장태양광,2017-10-23,0,0,0,0,0,0,0,31,177,355,465,556,568,529,438,280,104,6,0,0,0,0,0,0
당진매립장태양광,2017-10-24,0,0,0,0,0,0,0,20,172,268,400,554,592,553,449,275,104,6,0,0,0,0,0,0
당진매립장태양광,2017-10-25,0,0,0,0,0,0,0,21,155,349,492,566,589,567,420,274,97,6,0,0,0,0,0,0
당진매립장태양광,2017-10-26,0,0,0,0,0,0,0,8,120,397,353,483,302,267,241,177,55,0,0,0,0,0,0,0
당진매립장태양광,2017-10-27,0,0,0,0,0,0,0,17,103,296,475,535,549,503,395,241,89,3,0,0,0,0,0,0
당진매립장태양광,2017-10-28,0,0,0,0,0,0,0,24,157,321,459,531,534,499,417,246,86,1,0,0,0,0,0,0
당진매립장태양광,2017-10-29,0,0,0,0,0,0,0,20,108,237,404,535,517,576,473,287,101,2,0,0,0,0,0,0
당진매립장태양광,2017-10-30,0,0,0,0,0,0,0,14,168,366,515,595,618,578,470,286,93,0,0,0,0,0,0,0
당진매립장태양광,2017-10-31,0,0,0,0,0,0,0,16,170,360,495,562,572,527,418,259,91,1,0,0,0,0,0,0
당진매립장태양광,2017-11-01,0,0,0,0,0,0,0,4,79,218,240,91,341,533,345,189,57,0,0,0,0,0,0,0
당진매립장태양광,2017-11-02,0,0,0,0,0,0,0,0,36,120,204,285,339,321,304,72,11,0,0,0,0,0,0,0
당진매립장태양광,2017-11-03,0,0,0,0,0,0,0,7,16,34,179,303,442,484,255,218,88,0,0,0,0,0,0,0
당진매립장태양광,2017-11-04,0,0,0,0,0,0,0,1,118,211,366,534,565,514,408,233,97,4,0,0,0,0,0,0
당진매립장태양광,2017-11-05,0,0,0,0,0,0,0,16,156,333,401,359,565,514,420,242,75,0,0,0,0,0,0,0
당진매립장태양광,2017-11-06,0,0,0,0,0,0,0,11,149,319,349,434,535,495,376,232,70,0,0,0,0,0,0,0
당진매립장태양광,2017-11-07,0,0,0,0,0,0,0,9,121,298,458,514,547,469,300,128,31,0,0,0,0,0,0,0
당진매립장태양광,2017-11-08,0,0,0,0,0,0,0,0,101,226,275,450,566,530,421,236,67,0,0,0,0,0,0,0
당진매립장태양광,2017-11-09,0,0,0,0,0,0,0,9,116,299,406,502,489,471,349,185,58,0,0,0,0,0,0,0
당진매립장태양광,2017-11-10,0,0,0,0,0,0,0,2,105,165,256,229,131,83,51,0,0,0,0,0,0,0,0,0
당진매립장태양광,2017-11-11,0,0,0,0,0,0,0,6,126,307,455,544,562,523,412,231,62,0,0,0,0,0,0,0
당진매립장태양광,2017-11-12,0,0,0,0,0,0,0,2,86,306,417,522,555,463,271,194,60,0,0,0,0,0,0,0
당진매립장태양광,2017-11-13,0,0,0,0,0,0,0,0,39,153,221,136,177,195,188,117,20,0,0,0,0,0,0,0
당진매립장태양광,2017-11-14,0,0,0,0,0,0,0,1,95,233,356,413,466,433,349,213,67,0,0,0,0,0,0,0
당진매립장태양광,2017-11-15,0,0,0,0,0,0,0,2,88,131,218,441,362,187,193,210,36,0,0,0,0,0,0,0
당진매립장태양광,2017-11-16,0,0,0,0,0,0,0,2,90,223,367,438,454,411,314,168,44,0,0,0,0,0,0,0
당진매립장태양광,2017-11-17,0,0,0,0,0,0,0,0,74,154,111,59,64,79,14,12,8,0,0,0,0,0,0,0
당진매립장태양광,2017-11-18,0,0,0,0,0,0,0,4,101,258,386,461,474,436,334,181,40,0,0,0,0,0,0,0
당진매립장태양광,2017-11-19,0,0,0,0,0,0,0,4,71,195,284,340,445,418,319,155,37,0,0,0,0,0,0,0
당진매립장태양광,2017-11-20,0,0,0,0,0,0,0,0,65,206,285,362,396,141,120,81,6,0,0,0,0,0,0,0
당진매립장태양광,2017-11-21,0,0,0,0,0,0,0,1,73,224,342,411,420,399,294,152,36,0,0,0,0,0,0,0
당진매립장태양광,2017-11-22,0,0,0,0,0,0,0,0,0,55,194,316,347,160,146,122,35,0,0,0,0,0,0,0
당진매립장태양광,2017-11-23,0,0,0,0,0,0,0,0,0,0,4,133,387,285,268,110,1,0,0,0,0,0,0,0
당진매립장태양광,2017-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
당진매립장태양광,2017-11-25,0,0,0,0,0,0,0,0,0,0,10,44,171,196,182,121,6,0,0,0,0,0,0,0
당진매립장태양광,2017-11-26,0,0,0,0,0,0,0,0,52,171,281,349,367,367,292,159,30,0,0,0,0,0,0,0
당진매립장태양광,2017-11-27,0,0,0,0,0,0,0,0,76,215,339,414,425,377,285,149,36,0,0,0,0,0,0,0
당진매립장태양광,2017-11-28,0,0,0,0,0,0,0,0,28,115,134,188,390,341,159,122,24,0,0,0,0,0,0,0
당진매립장태양광,2017-11-29,0,0,0,0,0,0,0,1,64,209,349,423,444,408,282,174,49,0,0,0,0,0,0,0
당진매립장태양광,2017-11-30,0,0,0,0,0,0,0,0,66,230,321,419,440,398,307,157,28,0,0,0,0,0,0,0
당진매립장태양광,2017-12-01,0,0,0,0,0,0,0,0,59,209,340,412,433,395,295,151,27,0,0,0,0,0,0,0
당진매립장태양광,2017-12-02,0,0,0,0,0,0,0,0,4,90,277,258,264,351,158,78,23,0,0,0,0,0,0,0
당진매립장태양광,2017-12-03,0,0,0,0,0,0,0,0,2,50,139,200,232,191,145,139,27,0,0,0,0,0,0,0
당진매립장태양광,2017-12-04,0,0,0,0,0,0,0,0,56,205,337,416,448,405,252,149,24,0,0,0,0,0,0,0
당진매립장태양광,2017-12-05,0,0,0,0,0,0,0,0,51,187,326,346,425,369,273,142,38,0,0,0,0,0,0,0
당진매립장태양광,2017-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
당진매립장태양광,2017-12-07,0,0,0,0,0,0,0,0,20,84,167,227,318,315,218,92,22,0,0,0,0,0,0,0
당진매립장태양광,2017-12-08,0,0,0,0,0,0,0,0,28,163,232,291,401,393,230,164,28,0,0,0,0,0,0,0
